SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0133.93.03.00004989;8669.6200;8669.27;1589;94;03/04/2012
0133.93.03.00005005;7275.9100;5755.67;1593;95;04/04/2012
0133.93.03.00005010;19488.0300;22928.96;1595;96;05/04/2012
0133.93.03.00005013;8431.7800;8431.76;1598;97;05/04/2012
0133.93.03.00005015;7140.4900;5685.19;1600;98;05/04/2012
0133.93.03.00005018;12565.2100;10569.39;1602;99;05/04/2012
0133.93.03.00005039;5063.5500;5063.35;1610;100;21/05/2012
0133.93.03.00005043;2366.0400;4732.15;1613;101;04/05/2012
0133.93.03.00005081;19513.6000;19513.59;1632;102;13/07/2012
0133.93.03.00005104;17429.7800;17429.76;1645;103;31/07/2012
0133.93.03.00005115;15929.2700;15926.27;1650;104;18/06/2012
0133.93.03.00005140;18398.8600;18398.85;1659;105;06/09/2012
0133.93.03.00005149;19816.0800;19815.79;1664;106;13/09/2012
0133.93.03.00005152;38062.0900;38053.33;1666;107;13/09/2012
0133.93.03.00005220;5679.3400;4732.78;1687;108;22/10/2012
0133.93.03.00005268;19079.3700;19077.86;1701;109;10/12/2012
0133.93.03.00005337;4271.7100;4349.54;1723;110;27/02/2013
0133.93.03.00005345;11527.3600;11524.36;1730;111;28/08/2012
0133.93.03.00005386;6507.3200;12827.32;1740;112;27/03/2013
0133.93.03.00005395;26397.9600;26384.96;1747;113;12/03/2013
0133.93.03.00005412;7783.6500;3891.83;1752;114;22/02/2013
0133.93.03.00005414;3000.0500;2100.04;1754;115;22/02/2013
0133.93.03.00005424;9001.3300;8001.33;1760;116;28/03/2013
0133.93.03.00005436;38825.5200;16069.36;1768;117;14/12/2012
0133.93.03.00005465;5958.9600;2979.48;1774;118;13/05/2013
0133.93.03.00005480;20783.6300;19783.63;1778;119;04/06/2013
0133.93.03.00005482;5130.6000;7130.6;1780;120;05/06/2013
0133.93.03.00005489;1125.0000;2500;1783;121;10/06/2013
0133.93.03.00005495;11682.6200;11801.81;1788;122;11/06/2013
0133.93.03.00005521;3726.2700;7452.5;1795;123;08/07/2013
0133.93.03.00005534;9882.7400;9881.73;1802;124;30/07/2013
0133.93.03.00005537;11763.0400;11763.11;1804;125;30/07/2013
0133.93.03.00005554;21523.4600;20523.46;1812;126;14/08/2013
0133.93.03.00005563;1029.1100;5145.54;1820;127;30/08/2013
0133.93.03.00005590;2680.9100;2680.9;1822;128;05/09/2013
0133.93.03.00005597;1315.7900;3289.48;1827;129;16/09/2013
0133.93.03.00005608;12697.3500;12701.19;1832;130;04/07/2013
0133.93.03.00005614;24244.5500;12122.28;1834;131;01/08/2013
0133.93.03.00005626;12821.4900;12820.58;1841;132;03/10/2013
0133.93.03.00005640;25789.7000;23572.05;1845;133;20/08/2013
0133.93.03.00005652;7449.3200;7449.4;1855;134;24/10/2013
0133.93.03.00005666;5879.3200;5879.14;1862;135;26/11/2013
0133.93.03.00005686;3610.9700;2708.22;1875;136;22/11/2012
0133.93.03.00005700;16243.6500;16243.38;1889;137;21/01/2014
0133.93.03.00005707;10894.1700;12554.17;1893;138;31/01/2014
0133.93.03.00005719;6471.7300;6471.72;1901;139;26/02/2014
0133.93.03.00005730;5569.2200;5569.2;1911;140;14/03/2014
0133.93.03.00005732;52462.1200;52462.1;1913;141;14/03/2014
0133.93.03.00005735;54403.5500;58723.55;1915;142;14/03/2014
0133.93.03.00005752;3499.0300;5499.03;1927;143;14/04/2014
0133.93.03.00005771;19960.2400;19280.24;1940;144;16/05/2014
0133.93.03.00005776;12075.9800;12075.48;1945;145;16/05/2014
0133.93.03.00005788;9084.8000;4542.4;1954;146;28/05/2014
0133.93.03.00005792;3695.9100;7391.81;1958;147;28/05/2014
0133.93.03.00005798;2197.8600;1831.55;1964;148;29/05/2014
0133.93.03.00005807;12699.0600;12699.05;1971;149;26/06/2014
0133.93.03.00005810;13432.1500;13432.14;1974;150;26/06/2014
0133.93.03.00005824;3294.0600;3294.08;1985;151;15/07/2014
0133.93.03.00005829;17582.7700;18461.91;1990;152;17/07/2014
0133.93.03.00005834;3236.8400;5236.84;1995;153;22/07/2014
0133.93.03.00005845;24547.6900;24547.86;2005;154;08/08/2014
0133.93.03.00005856;21091.6400;21088.74;2014;155;28/08/2014
0133.93.03.00005858;14932.0800;14922.2;2016;156;18/07/2014
0133.93.03.00005906;6546.3300;4564.32;2033;157;17/10/2014
0133.93.03.00005908;3701.9000;3701.88;2035;158;17/10/2014
0133.93.03.00005925;6953.2200;6953.21;2046;159;24/11/2014
0135.81.03.00000239;552.9700;1681.7;2053;160;11/01/2011
0135.81.03.00000266;2201.4800;2000;2064;161;19/09/2013
0135.93.03.00002909;6479.5300;6479.52;2136;162;13/01/2011
0135.93.03.00002939;5014.9200;5014.62;2144;163;14/02/2011
0135.93.03.00002980;5014.6200;5014.61;2147;164;21/02/2011
0135.93.03.00002996;5113.0600;5113.08;2150;165;21/02/2011
0135.93.03.00003091;11436.6500;13436.65;2174;166;01/09/2010
0135.93.03.00003161;8766.7900;8766.78;2183;167;25/04/2011
0135.93.03.00003244;3067.2900;3067.28;2190;168;29/04/2011
0135.93.03.00003413;4641.3200;6641.33;2216;169;20/06/2011
0135.93.03.00003443;17453.1700;8726.59;2230;170;10/08/2011
