SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0132.93.03.00000327;45.407.900;4539.27;1239;96;16/06/2011
0132.93.03.00000334;11.695.900;1189.59;1244;97;13/02/2012
0132.93.03.00000337;368.119.500;40979.36;1246;98;15/03/2012
0132.93.03.00000356;56.286.500;7628.65;1259;99;05/06/2013
0132.93.03.00000365;21.578.900;1078.94;1265;100;28/08/2013
0132.93.03.00000375;20.370.400;4037.04;1274;101;18/02/2014
0132.93.03.00000380;55.449.700;5546.11;1278;102;31/03/2014
0132.93.03.00000387;70.409.400;7180.31;1283;103;26/06/2014
0132.93.03.00000389;148.634.000;15178.49;1285;104;26/06/2014
0133.81.03.00000148;20.000.000;115172.75;1295;105;05/04/2012
0133.81.03.00000151;10.000.000;2000;1298;106;14/08/2012
0133.81.03.00000156;10.000.000;2000;1301;107;20/05/2013
0133.81.03.00000161;10.000.000;2000;1304;108;11/09/2013
0133.93.03.00004125;64.931.800;6493.66;1398;109;21/02/2011
0133.93.03.00004172;24.468.800;4893.76;1407;110;09/07/2010
0133.93.03.00004250;103.444.200;10343.81;1416;111;17/03/2011
0133.93.03.00004280;362.844.200;36282.58;1422;112;22/03/2011
0133.93.03.00004325;129.605.900;12960.58;1429;113;29/03/2011
0133.93.03.00004359;1.974.200;197.72;1435;114;19/04/2011
0133.93.03.00004424;44.035.100;4837.23;1448;115;27/04/2011
0133.93.03.00004434;491.201.800;5397.82;1451;116;28/04/2011
0133.93.03.00004489;25.916.200;370.24;1456;117;02/05/2011
0133.93.03.00004496;249.964.700;24996.45;1458;118;02/05/2011
0133.93.03.00004532;261.017.000;26101.32;1462;119;04/05/2011
0133.93.03.00004567;131.776.400;13177.69;1469;120;01/06/2009
0133.93.03.00004587;22.280.700;222.07;1473;121;15/12/2009
0133.93.03.00004601;28.650.100;5730.02;1477;122;28/12/2009
0133.93.03.00004612;135.303.900;13530.26;1481;123;08/07/2009
0133.93.03.00004661;205.665.800;5075.78;1483;124;16/05/2011
0133.93.03.00004665;482.778.400;48287.83;1485;125;16/05/2011
0133.93.03.00004723;6.193.300;6193.3;1492;126;13/05/2011
0133.93.03.00004732;30.906.500;3090.64;1495;127;10/06/2011
