SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0131.93.03.00001115;5180.3100;5180.34;1173;122
0131.93.03.00001125;4323.5900;4323.6;1180;123
0131.93.03.00001137;5681.2900;7681.29;1190;124
0131.93.03.00001142;5113.0600;7113.06;1194;125
0132.82.03.00000014;1696.0000;12080;1214;126
0132.93.03.00000282;9847.8900;9847.09;1229;127
0132.93.03.00000288;11184.6900;11186.15;1234;128
0132.93.03.00000327;4540.7900;4539.27;1239;129
0132.93.03.00000334;1169.5900;1189.59;1244;130
0132.93.03.00000337;36811.9500;40979.36;1246;131
0132.93.03.00000356;5628.6500;7628.65;1259;132
0132.93.03.00000365;2157.8900;1078.94;1265;133
0132.93.03.00000375;2037.0400;4037.04;1274;134
0132.93.03.00000380;5544.9700;5546.11;1278;135
0132.93.03.00000387;7040.9400;7180.31;1283;136
0132.93.03.00000389;14863.4000;15178.49;1285;137
0133.81.03.00000148;2000.0000;115172.75;1295;138
0133.81.03.00000151;1000.0000;2000;1298;139
0133.81.03.00000156;1000.0000;2000;1301;140
0133.81.03.00000161;1000.0000;2000;1304;141
0133.93.03.00004125;6493.1800;6493.66;1398;142
0133.93.03.00004172;2446.8800;4893.76;1407;143
0133.93.03.00004250;10344.4200;10343.81;1416;144
0133.93.03.00004280;36284.4200;36282.58;1422;145
0133.93.03.00004325;12960.5900;12960.58;1429;146
0133.93.03.00004359;197.4200;197.72;1435;147
0133.93.03.00004424;4403.5100;4837.23;1448;148
0133.93.03.00004434;49120.1800;5397.82;1451;149
0133.93.03.00004489;2591.6200;370.24;1456;150
0133.93.03.00004496;24996.4700;24996.45;1458;151
0133.93.03.00004532;26101.7000;26101.32;1462;152
0133.93.03.00004567;13177.6400;13177.69;1469;153
0133.93.03.00004587;2228.0700;222.07;1473;154
0133.93.03.00004601;2865.0100;5730.02;1477;155
0133.93.03.00004612;13530.3900;13530.26;1481;156
0133.93.03.00004661;20566.5800;5075.78;1483;157
0133.93.03.00004665;48277.8400;48287.83;1485;158
0133.93.03.00004723;619.3300;6193.3;1492;159
0133.93.03.00004732;3090.6500;3090.64;1495;160
0133.93.03.00004750;13725.3000;13725.31;1501;161
0133.93.03.00004759;32147.8900;32144.37;1503;162
0133.93.03.00004774;3226.6100;6453.21;1506;163
0133.93.03.00004799;13417.7100;13417.17;1510;164
0133.93.03.00004806;6066.5700;2693.96;1516;165
0133.93.03.00004848;2897.7800;2897.77;1537;166
0133.93.03.00004887;6108.9300;6108.87;1550;167
0133.93.03.00004909;5684.2100;5684.22;1558;168
0133.93.03.00004929;28895.5100;28895.47;1560;169
0133.93.03.00004949;4998.3600;4898.36;1567;170
0133.93.03.00004956;2922.0200;5844.05;1570;171
0133.93.03.00004960;6309.9400;3154.97;1572;172
0133.93.03.00004989;8669.6200;8669.27;1589;173
0133.93.03.00005005;7275.9100;5755.67;1593;174
0133.93.03.00005010;19488.0300;22928.96;1595;175
0133.93.03.00005013;8431.7800;8431.76;1598;176
0133.93.03.00005015;7140.4900;5685.19;1600;177
0133.93.03.00005018;12565.2100;10569.39;1602;178
0133.93.03.00005039;5063.5500;5063.35;1610;179
0133.93.03.00005043;2366.0400;4732.15;1613;180
0133.93.03.00005081;19513.6000;19513.59;1632;181
0133.93.03.00005104;17429.7800;17429.76;1645;182
0133.93.03.00005115;15929.2700;15926.27;1650;183
0133.93.03.00005140;18398.8600;18398.85;1659;184
0133.93.03.00005149;19816.0800;19815.79;1664;185
0133.93.03.00005152;38062.0900;38053.33;1666;186
0133.93.03.00005220;5679.3400;4732.78;1687;187
