SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0141.93.03.00002503;2340.0000;2443.04;4275;517
0135.93.03.00003166;170.5600;170.57;4280;518
0133.93.03.00004427;5133.5300;7133.53;4290;519
0135.93.03.00003179;6343.0800;72343.41;4296;520
0115.93.03.00000429;8213.8600;7315.95;4301;521
0133.93.03.00004420;5418.1300;8885.97;4303;522
0133.93.03.00004413;2932.6300;2008.63;4306;523
0135.93.03.00003188;2318.7100;2890.64;4313;524
0133.93.03.00004426;4219.3000;2228.07;4316;525
0133.93.03.00004425;6977.3700;6840.51;4318;526
0135.93.03.00003173;960.0400;1032.16;4320;527
0135.93.03.00003187;4388.8900;3194.45;4322;528
0141.93.03.00002506;2427.1100;2429.11;4325;529
0141.93.03.00002509;3210.5300;3223.2;4329;530
0135.93.03.00003171;7085.3100;5085.31;4331;531
0141.93.03.00002508;100000.0000;50000;4345;532
0126.93.03.00000922;8038.0100;8038.98;4347;533
0153.93.03.00001284;3143.1600;2540.29;4369;534
0133.93.03.00004441;12939.6300;12939.65;4381;535
0135.93.03.00003232;5627.6800;2813.84;4383;536
0135.93.03.00003229;2043.8700;2003.79;4387;537
0133.93.03.00004448;9326.9000;9325.99;4389;538
0131.93.03.00000980;3321.6400;3321.62;4396;539
0133.93.03.00004444;2163.7400;4163.74;4401;540
0135.93.03.00003224;6306.0400;6305.93;4405;541
0141.93.03.00002513;251997.0700;32290.07;4413;542
0135.93.03.00003201;29743.9100;30126.8;4415;543
0133.93.03.00004450;2255.3600;4255.37;4417;544
0135.93.03.00003228;4306.0400;4729.54;4423;545
0135.93.03.00003227;4649.1200;2324.56;4425;546
0126.93.03.00000935;4321.6400;6321.64;4431;547
0153.93.03.00001302;7705.6500;7705.66;4433;548
0124.93.03.00000527;5331.3800;5331.39;4439;549
0133.93.03.00004443;8875.2400;10875.24;4441;550
0124.93.03.00000519;3629.6300;3753.09;4444;551
0135.93.03.00003211;24646.6500;24655.64;4447;552
0141.93.03.00002511;5700.0000;2850;4464;553
0126.93.03.00000930;13258.6000;11870.88;4467;554
0151.93.03.00000154;4502.4400;6502.44;4472;555
0129.93.03.00000522;7858.6700;5858.67;4475;556
0126.93.03.00000931;7989.3800;7980.38;4477;557
0129.81.03.00000009;2123.1500;1492.66;4479;558
0126.93.03.00000925;2577.2900;2577.28;4484;559
0141.93.03.00002526;2340.0000;1170;4489;560
0133.93.03.00004478;30672.2800;30675.69;4491;561
0141.93.03.00002532;3000.0000;1500;4494;562
0141.93.03.00002534;3000.0000;1500;4496;563
0141.93.03.00002528;6172.5100;6172.5;4500;564
0133.93.03.00004472;4239.7700;4239.78;4502;565
0141.93.03.00002529;2800.0000;700;4505;566
0141.93.03.00002525;7400.0000;3700;4509;567
0141.93.03.00002515;2340.0000;1096.88;4520;568
0133.93.03.00004460;5495.4000;5495.42;4527;569
0135.93.03.00003237;15714.6400;15359.23;4532;570
0135.93.03.00003238;33383.0400;33517.31;4535;571
0133.93.03.00004473;12062.0700;8148.39;4542;572
0141.93.03.00002517;2340.0000;1170;4545;573
0141.93.03.00002520;2340.0000;1170;4547;574
0133.93.03.00004464;1093.9000;1034.43;4551;575
0141.93.03.00002521;40000.0000;20000;4555;576
0126.93.03.00000940;3059.4500;8282.27;4561;577
0126.93.03.00000943;8319.6600;10979.5;4571;578
0126.93.03.00000939;2000.0000;1000;4573;579
0129.93.03.00000530;36343.5800;27633.8;4584;580
0124.93.03.00000533;4926.3100;4936.31;4590;581
0153.93.03.00001314;5881.0900;5881.13;4598;582
0133.93.03.00004498;6861.6500;6861.44;4608;583
0126.93.03.00000946;5789.9100;5761.11;4612;584
0153.93.03.00001317;7881.0900;8031.09;4616;585
0133.93.03.00004501;4562.3800;3801.99;4618;586
0141.93.03.00002546;5000.0000;4375;4620;587
0133.93.03.00004500;8146.3000;8772.73;4622;588
0133.93.03.00004505;6549.8500;6681.27;4625;589
0135.93.03.00003265;13319.5400;15119.54;4628;590
0135.93.03.00003272;12966.0600;13126.7;4630;591
0133.93.03.00004511;11982.5300;8151.1;4635;592
0133.93.03.00004509;7880.4300;7880.46;4642;593
0135.93.03.00003271;1925.9300;1925.44;4645;594
0143.93.03.00001200;2902.5300;2903.02;4647;595
0133.93.03.00004518;2985.0200;2538.68;4658;596
0126.93.03.00000952;2209.5500;2209.73;4661;597
0135.93.03.00003260;5267.6000;5274.64;4663;598
0141.93.03.00002548;565.2100;565.3;4668;599
0135.93.03.00003258;10385.3400;7369.11;4674;600
0131.93.03.00000988;5552.0500;5603.74;4679;601
0131.93.03.00000991;4257.3200;4257.35;4688;602
0135.93.03.00003274;5564.9500;4638.72;4691;603
0143.93.03.00001202;16690.1600;16690.12;4704;604
0133.93.03.00004522;9449.6000;9731.03;4720;605
0129.93.03.00000543;21754.7600;43509.52;4724;606
0123.93.03.00000669;3556.4200;3302.39;4736;607
0115.93.03.00000451;1852.8300;1852.85;4757;608
0126.93.03.00000960;14791.3200;14790.32;4796;609
0115.93.03.00000452;18542.2500;20541.47;4808;610
0141.93.03.00002608;576.0400;5760.44;4825;611
0141.93.03.00002584;60000.0000;30000;4827;612
0153.93.03.00001329;2727.5600;392.99;4876;613
0115.93.03.00000448;26440.6400;26440.61;4890;614
0131.93.03.00000998;4371.3500;4371.36;4905;615
0141.93.03.00002646;2800.0000;1400;4907;616
0141.93.03.00002648;2340.0000;1170;4909;617
0141.93.03.00002659;2340.0000;1170;4911;618
0142.93.03.00000406;3013.9000;1210.06;4918;619
0133.93.03.00004588;7565.5400;3739.77;4924;620
0141.93.03.00002672;80000.0000;40000;4927;621
0141.93.03.00002657;2785.0600;1170;4931;622
0115.93.03.00000456;10000.0000;8332;4934;623
0141.93.03.00002668;6000.0000;3000;4944;624
0141.93.03.00002652;20900.0000;10450;4960;625
0141.93.03.00002654;20000.0000;10000;4962;626
0141.93.03.00002656;2340.0000;1392.54;4964;627
0133.93.03.00004610;8710.4500;8710.18;4966;628
0141.93.03.00002663;1170.0000;1392.53;4969;629
0141.93.03.00002653;2340.0000;1221.52;4977;630
0141.93.03.00002649;3510.0000;1392.53;4981;631
0141.93.03.00002666;2340.0000;1392.53;4985;632
0133.93.03.00004591;2400.0000;1200;4987;633
0126.93.03.00000971;12605.5500;12515.5;4995;634
0126.93.03.00000984;7500.0000;3750;5005;635
0129.93.03.00000559;21784.0100;13685.92;5008;636
0133.93.03.00004604;5658.8700;5659.08;5014;637
0133.93.03.00004586;2005.8500;4011.7;5017;638
0126.93.03.00000983;14756.0000;6810.48;5020;639
0126.93.03.00000987;4608.0000;2304;5022;640
0143.93.03.00001220;3353.9800;3354.17;5025;641
0141.93.03.00002683;5367.4500;5380.12;5035;642
0141.93.03.00002686;16500.0000;8250;5037;643
0141.93.03.00002688;2340.0000;1170;5040;644
0141.93.03.00002680;2340.0000;1170;5044;645
0142.93.03.00000409;1751.4600;1758.28;5046;646
0133.93.03.00004619;5339.1800;5359.65;5048;647
0133.93.03.00004615;3778.0000;3717.97;5050;648
0126.93.03.00000989;97.4700;97.48;5052;649
0141.93.03.00002679;2340.0000;1170;5068;650
0133.93.03.00004635;2567.2500;2566.76;5102;651
0141.93.03.00002736;2340.0000;1170;5117;652
0126.93.03.00000992;11384.9900;11427.88;5124;653
0135.93.03.00003367;13633.0400;11633.04;5127;654
0133.93.03.00004648;100.0000;10832.46;5140;655
0141.93.03.00002695;2785.0600;1392.53;5200;656
0141.93.03.00002740;2785.0600;1392.53;5202;657
0133.93.03.00004641;100.0000;8355.24;5204;658
0133.93.03.00004656;54030.8000;27015.4;5215;659
0141.93.03.00002767;2340.0000;1170;5229;660
0141.93.03.00002772;2340.0000;1170;5232;661
0141.93.03.00002768;80000.0000;40000;5235;662
0141.93.03.00002779;2800.0000;1400;5241;663
0141.93.03.00002778;2785.0600;1392.53;5245;664
0141.93.03.00002770;60000.0000;30000;5247;665
0141.93.03.00002771;2785.0600;1392.53;5249;666
0141.93.03.00002781;12000.0000;3000;5256;667
0141.93.03.00002785;2159.6000;2159.58;5268;668
0153.93.03.00001372;7180.3100;9180.31;5275;669
0126.93.03.00001017;3614.9200;3614.7;5281;670
0141.93.03.00002819;4062.8700;3900.1;5294;671
0133.93.03.00004804;2250.0000;2500;5305;672
0143.93.03.00001286;6547.9200;5928.32;5308;673
0129.93.03.00000603;5902.5300;3935.02;5321;674
0124.81.03.00000036;1278.0400;1278.64;5323;675
0143.93.03.00001329;20410.7300;14882.18;5327;676
0135.93.03.00003487;11449.1600;8888.89;5331;677
0153.93.03.00001437;4213.4500;4213.47;5335;678
0153.93.03.00001446;8958.6900;6403.99;5340;679
0143.93.03.00001341;6739.1100;6414.24;5342;680
0135.93.03.00003544;4886.4500;2886.45;5352;681
0135.93.03.00003560;34692.6000;23128.4;5357;682
0143.93.03.00001387;91537.6300;57035;5368;683
0133.81.03.00000154;1501.1400;1444.31;5380;684
0126.93.03.00001190;2255.3900;2066.18;5389;685
0135.93.03.00003707;1456.5300;910.33;5409;686
0135.93.03.00003751;3279.8200;2733.18;5423;687
0101.82.03.00000155;1000.0000;3000;5426;688
0101.93.03.00000465;94950.0000;47475;5444;689
0153.93.03.00001639;21616.2000;24936.2;5457;690
0132.93.03.00000391;4171.3400;4171.54;5482;691
0126.93.03.00001323;2110.1400;2112.09;5513;692
0124.93.03.00000551;12151.2800;12151.3;5546;693
0124.93.03.00000499;1629.6300;543.2;5558;694
0141.93.03.00002345;141.0000;187.99;5591;695
0133.93.03.00004962;6846.8500;3423.43;5594;696
0133.93.03.00005113;55395.4200;55395.4;5606;697
0126.93.03.00001018;5073.4900;5173.49;5637;698
0133.93.03.00004705;485.3800;4853.8;5657;699
0126.93.03.00001064;;4500;5680;700
0126.93.03.00000812;1137.4300;568.69;5683;701
0133.93.03.00004221;4844.0500;692.01;5713;702
0153.93.03.00001617;5822.2200;5822.2;5716;703
0131.93.03.00000878;2187.6200;4187.62;5731;704
0133.93.03.00005941;9203.6200;8366.93;5733;705
0126.93.03.00001031;2190.0000;2372.5;5741;706
0126.93.03.00000923;4691.8500;4691.82;5750;707
0101.81.03.00000165;25.0000;2500;5760;708
0135.93.03.00003027;1955.6200;1928.62;5762;709
0101.93.03.00000264;74276.8800;76476.88;5767;710
0126.93.03.00001032;20.0000;2000;5771;711
0142.93.03.00000518;;49290;5791;712
0143.93.03.00001509;12365.4800;15456.85;5795;713
0129.93.03.00000752;264.1100;264.12;5798;714
0143.93.03.00001486;7248.9000;7248.88;5800;715
0153.93.03.00001525;7941.5200;3970.76;5802;716
0142.93.03.00000462;;10250.39;5805;717
0126.93.03.00001133;4344.7800;7664.78;5807;718
0126.93.03.00001098;;2000;5810;719
0126.93.03.00001142;2066.1800;3443.64;5812;720
0153.93.03.00001568;3099.4200;3099.34;5815;721
0126.93.03.00001266;30.0000;3000;5817;722
0126.93.03.00001304;36661.5300;43012.1;5819;723
0135.93.03.00003628;2957.1200;1478.56;5821;724
0135.93.03.00003650;5113.0600;7113.06;5823;725
